year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,geoID,pais
2016,0.95,3.4,4.49,8.52,13.97,17.3,19.01,18.32,17.47,8.71,4.2,2.62,DE,Alemania
2017,-1.68,3.11,7.74,7.98,14.45,18.22,18.42,18.54,13.31,11.45,5.22,2.46,DE,Alemania
2018,3.47,-1.65,2.79,12.31,16.21,18.02,20.71,20.38,15.87,11.31,5.66,3.67,DE,Alemania
2019,0.37,4.57,6.98,10.04,11.27,19.01,19.35,19.68,14.8,11.22,5.48,3.89,DE,Alemania
2020,3.69,5.32,5.65,11.03,12.37,17.26,18.16,20.57,15.68,10.42,6.83,3.15,DE,Alemania
2016,4.41,4.73,5.43,8.58,14.15,16.58,18.78,18.64,17.8,10.1,5.92,4.2,BE,Belgica
2017,0.87,5.27,9.06,8.77,15.09,18.67,18.78,18.17,14.0,12.91,6.78,4.47,BE,Belgica
2018,5.62,0.63,4.73,12.47,16.21,17.91,21.37,19.69,15.63,12.48,6.97,5.7,BE,Belgica
2019,2.86,6.33,8.18,10.68,11.8,18.75,19.64,19.4,15.16,11.92,6.37,5.7,BE,Belgica
2020,5.5,6.87,7.09,11.98,13.6,17.44,18.08,21.04,16.25,11.36,8.43,5.36,BE,Belgica
2016,1.6,6.31,7.26,12.61,15.11,19.87,22.33,20.74,18.44,10.64,6.89,2.23,HR,Croacia
2017,-2.75,4.76,9.8,10.98,16.4,21.53,22.48,23.25,15.6,12.35,6.75,2.88,HR,Croacia
2018,4.17,1.54,5.1,14.69,18.41,20.29,21.98,23.28,18.47,14.02,8.53,2.69,HR,Croacia
2019,0.45,5.13,9.17,12.15,12.94,21.63,22.25,22.96,17.78,13.8,9.6,4.62,HR,Croacia
2020,2.01,6.56,7.42,12.36,14.81,18.83,21.32,22.53,18.49,12.2,7.4,4.37,HR,Croacia
2016,-0.23,2.38,3.75,6.65,13.02,15.91,16.92,16.31,16.24,8.78,4.1,4.41,DK,Dinamarca
2017,0.79,1.84,5.1,6.28,12.17,15.07,15.81,16.22,13.41,10.99,5.65,3.52,DK,Dinamarca
2018,2.49,-1.23,0.34,8.94,14.65,16.39,19.3,17.97,14.48,10.57,5.9,4.29,DK,Dinamarca
2019,1.44,4.24,5.36,8.49,10.11,16.57,17.01,17.83,13.62,9.75,5.64,4.64,DK,Dinamarca
2020,5.12,4.68,4.48,8.1,10.3,16.49,15.23,18.57,14.21,10.59,7.72,4.23,DK,Dinamarca
2016,8.13,8.03,8.77,11.37,15.01,20.14,23.69,23.69,20.64,15.54,9.69,7.41,ES,España
2017,5.4,8.67,10.46,12.96,17.03,21.67,23.51,23.51,19.36,16.52,9.58,6.44,ES,España
2018,7.29,5.7,8.91,12.12,15.14,19.82,23.25,24.33,21.27,14.67,9.86,7.86,ES,España
2019,5.94,8.08,10.4,11.44,15.67,19.93,24.06,23.49,20.15,15.46,9.74,8.25,ES,España
2020,6.56,9.57,10.1,12.57,17.62,19.32,24.52,23.56,20.02,13.92,10.84,7.13,ES,España
2016,5.69,6.04,6.73,9.67,13.6,17.18,20.04,20.31,18.51,11.57,7.67,4.68,FR,Francia
2017,1.98,6.75,9.7,10.37,15.25,19.75,20.12,20.03,15.05,13.52,7.05,4.59,FR,Francia
2018,7.09,2.32,6.55,12.48,15.14,18.91,21.97,21.27,17.96,13.32,8.38,6.56,FR,Francia
2019,3.47,6.78,8.94,10.55,12.59,18.9,21.74,20.65,17.34,13.77,7.51,6.88,FR,Francia
2020,5.99,8.01,8.13,12.79,15.48,17.26,20.55,21.27,17.76,11.74,9.11,5.67,FR,Francia
2016,5.81,4.81,6.3,7.02,11.39,14.23,14.99,15.16,13.72,10.31,5.71,7.02,IE,Irlanda
2017,5.84,6.11,7.82,8.64,11.95,13.87,14.79,14.35,12.34,11.1,6.87,5.64,IE,Irlanda
2018,5.22,3.78,4.46,8.34,11.65,14.72,16.17,14.69,12.0,9.55,7.52,7.42,IE,Irlanda
2019,5.71,7.31,7.18,9.08,10.41,12.79,15.83,15.18,13.1,9.33,5.99,5.98,IE,Irlanda
2020,6.14,5.62,6.15,9.3,11.42,13.36,14.17,15.14,12.92,9.54,7.97,5.17,IE,Irlanda
2016,-7.33,0.29,1.23,6.68,14.05,16.51,18.05,16.85,13.49,5.31,0.55,-0.37,LV,Letonia
2017,-3.85,-2.75,2.35,4.63,11.21,14.56,16.25,17.01,12.93,6.81,3.08,0.31,LV,Letonia
2018,-2.52,-6.33,-2.67,8.07,15.79,16.35,19.82,18.8,14.52,7.99,2.54,-1.62,LV,Letonia
2019,-4.53,0.09,1.87,7.81,11.99,18.48,16.6,17.39,12.62,8.11,3.66,1.67,LV,Letonia
2020,1.9,1.28,2.74,5.9,9.82,18.05,16.66,17.7,14.31,9.85,4.75,0.06,LV,Letonia
2016,2.94,3.9,4.7,8.32,13.82,16.59,18.98,18.42,17.49,9.22,4.72,2.29,LU,Luxemburgo
2017,-1.16,4.44,8.53,8.52,15.01,18.99,18.98,18.12,13.49,11.81,5.34,2.99,LU,Luxemburgo
2018,4.58,-0.53,4.07,12.33,16.12,18.09,21.48,19.79,15.53,11.68,5.81,4.19,LU,Luxemburgo
2019,1.18,5.21,7.57,10.25,11.62,18.96,19.85,19.22,14.86,11.35,5.21,4.2,LU,Luxemburgo
2020,3.84,5.94,6.4,12.06,13.52,17.26,18.52,20.76,16.13,10.52,6.94,3.96,LU,Luxemburgo
2016,4.24,4.53,5.41,8.22,14.14,16.18,18.21,18.04,17.53,9.8,5.78,5.14,NL,Holanda
2017,1.4,4.93,8.76,8.21,14.68,17.62,18.02,17.59,13.76,12.83,7.06,5.0,NL,Holanda
2018,5.39,0.51,4.45,11.86,15.98,17.13,20.67,19.1,15.12,12.17,6.92,6.32,NL,Holanda
2019,3.17,6.38,8.05,10.32,11.45,18.05,18.85,18.98,14.66,11.54,6.47,6.22,NL,Holanda
2020,5.93,6.84,6.89,11.03,12.93,17.03,17.07,20.55,15.47,11.21,8.74,5.79,NL,Holanda
2016,-11.03,-5.13,-1.81,2.05,8.97,12.47,14.89,12.53,10.63,3.12,-3.37,-3.93,SE,Suecia
2017,-6.3,-6.23,-2.38,0.6,6.49,11.93,13.69,12.53,9.43,3.95,-2.48,-5.58,SE,Suecia
2018,-7.52,-9.54,-6.77,2.42,10.51,12.31,17.52,13.82,9.69,3.69,-0.38,-4.87,SE,Suecia
2019,-8.94,-5.3,-3.04,3.71,6.61,13.24,14.42,13.84,8.59,2.13,-3.57,-3.7,SE,Suecia
2020,-3.58,-4.06,-2.17,1.81,5.79,15.06,13.33,13.83,9.53,4.76,0.83,-3.27,SE,Suecia
2016,-0.45,6.45,7.14,13.06,15.19,21.09,23.06,22.54,18.5,11.34,6.01,-1.07,BG,Bulgaria
2017,-4.01,2.41,8.05,10.01,15.88,20.91,22.75,23.45,18.51,11.96,6.9,3.68,BG,Bulgaria
2018,1.49,2.16,5.65,13.81,18.12,20.42,22.37,23.68,18.43,13.73,6.71,0.94,BG,Bulgaria
2019,0.22,2.82,7.94,10.73,15.67,21.94,22.52,23.6,18.93,13.98,10.81,3.9,BG,Bulgaria
2020,0.42,4.51,7.52,10.29,15.1,19.66,22.91,23.39,20.16,14.52,6.38,4.76,BG,Bulgaria
2016,-3.35,3.58,4.3,9.24,13.28,17.75,18.98,17.65,15.72,7.65,2.8,-2.33,SK,Eslovaquia
2017,-7.21,0.26,6.32,7.49,13.69,18.36,18.63,19.85,13.24,9.33,3.31,0.03,SK,Eslovaquia
2018,0.37,-2.96,0.76,13.02,16.3,17.51,19.2,20.58,15.23,10.89,4.48,-0.72,SK,Eslovaquia
2019,-3.03,1.7,5.91,9.86,11.31,19.46,18.62,20.06,14.31,10.39,6.48,1.1,SK,Eslovaquia
2020,-1.8,3.21,4.47,9.04,11.16,16.96,18.22,19.74,15.11,9.94,3.25,0.97,SK,Eslovaquia
2016,-8.9,-0.52,0.42,5.76,13.54,15.72,17.92,16.42,13.07,5.08,-0.07,-0.49,EE,Estonia
2017,-3.46,-3.48,1.03,3.38,9.82,13.79,15.92,16.46,12.14,6.21,2.82,0.29,EE,Estonia
2018,-2.82,-7.44,-3.95,6.33,14.95,15.66,20.21,18.44,13.93,7.4,2.82,-1.61,EE,Estonia
2019,-5.39,-0.75,0.42,6.96,11.01,17.76,16.44,16.95,12.1,6.67,2.68,1.48,EE,Estonia
2020,1.83,0.52,1.85,4.89,9.2,17.81,16.42,17.17,13.85,9.21,4.69,0.36,EE,Estonia
2016,5.49,9.8,9.75,14.96,16.73,22.5,24.86,24.54,20.26,15.4,10.65,3.69,GR,Grecia
2017,2.54,7.09,10.22,12.6,17.49,22.15,24.81,25.04,20.47,14.68,10.28,6.9,GR,Grecia
2018,5.9,7.25,10.54,15.36,19.09,21.72,24.2,24.75,21.07,15.91,11.19,5.6,GR,Grecia
2019,4.48,6.44,10.04,12.42,16.45,22.85,24.35,25.44,21.3,17.0,13.34,7.69,GR,Grecia
2020,4.89,7.53,9.89,12.16,17.6,20.67,24.72,24.94,22.15,16.61,10.74,8.47,GR,Grecia
2016,13.91,15.19,14.87,18.71,20.32,24.42,26.85,26.75,24.97,23.45,18.87,14.81,MT,Malta
2017,10.97,13.89,15.29,17.22,21.22,25.52,27.82,28.77,24.85,21.25,17.27,13.21,MT,Malta
2018,14.27,12.41,15.21,18.37,20.21,24.22,28.0,26.87,26.07,21.79,18.27,14.77,MT,Malta
2019,11.79,12.39,14.74,17.05,18.32,25.85,27.82,28.57,25.89,22.61,17.84,15.89,MT,Malta
2020,14.27,14.27,14.21,17.35,21.45,23.8,26.85,28.27,25.51,21.01,18.75,14.88,MT,Malta
2016,-2.69,3.58,4.41,8.71,14.83,18.17,19.17,18.08,16.1,7.84,3.16,0.94,PL,Polonia
2017,-3.96,0.33,6.51,7.22,13.91,17.59,18.28,19.2,13.62,10.1,4.69,2.23,PL,Polonia
2018,1.03,-2.87,0.88,12.37,17.04,18.18,20.18,20.69,15.69,10.64,4.57,1.66,PL,Polonia
2019,-1.58,2.98,6.19,9.86,12.41,19.45,18.73,20.14,14.36,10.83,6.39,3.18,PL,Polonia
2020,1.83,4.17,5.06,8.94,11.46,17.95,18.4,20.23,15.3,10.86,5.43,2.04,PL,Polonia
2016,-1.6,3.2,3.95,8.48,13.62,17.65,19.15,18.04,16.82,7.97,2.96,0.13,CZ,Rep. Checa
2017,-5.06,1.23,6.78,7.43,14.06,18.44,18.78,19.45,12.89,10.31,3.9,0.79,CZ,Rep. Checa
2018,1.66,-3.14,1.3,12.65,16.33,17.85,20.04,20.94,15.77,10.92,4.64,1.25,CZ,Rep. Checa
2019,-1.74,2.64,6.16,9.91,10.95,19.14,19.31,20.0,14.47,10.53,5.54,2.06,CZ,Rep. Checa
2020,0.68,3.99,4.6,10.06,11.47,16.82,18.39,20.05,15.28,9.78,4.6,1.53,CZ,Rep. Checa
2016,-1.97,1.7,2.31,7.18,10.64,14.97,17.31,16.22,14.42,6.56,2.19,-0.47,AT,Austria
2017,-6.0,0.95,5.46,5.86,12.03,17.0,17.11,17.9,10.57,8.73,2.04,-1.66,AT,Austria
2018,0.62,-4.19,0.71,10.23,13.66,15.74,17.56,18.51,13.95,9.58,4.03,-0.65,AT,Austria
2019,-3.44,1.43,4.34,7.54,8.27,17.01,17.78,17.71,12.98,9.58,3.97,0.74,AT,Austria
2020,-0.46,2.59,2.86,8.55,10.01,14.23,16.58,17.6,13.63,7.75,3.57,0.03,AT,Austria
2016,10.74,14.84,15.41,20.14,21.33,26.77,28.97,29.29,25.84,22.96,16.9,10.57,CY,Chipre
2017,9.52,11.12,14.59,17.58,21.49,25.75,29.53,28.67,27.22,21.63,16.41,14.74,CY,Chipre
2018,12.22,14.56,16.73,19.49,23.09,25.63,28.65,28.7,26.87,22.77,17.62,13.28,CY,Chipre
2019,11.15,12.51,13.68,16.13,22.81,26.31,27.97,28.75,26.41,23.64,18.84,13.69,CY,Chipre
2020,10.96,12.2,14.74,17.28,21.96,24.73,29.1,29.08,28.5,24.72,17.59,14.78,CY,Chipre
2016,-0.03,3.98,4.88,9.97,12.91,17.5,20.02,18.57,16.57,8.65,4.71,1.03,SI,Eslovenia
2017,-4.12,3.18,7.82,8.71,14.39,19.5,19.9,20.49,12.77,10.65,4.44,0.4,SI,Eslovenia
2018,2.62,-0.69,3.07,12.47,16.14,18.22,19.85,20.93,16.2,11.84,6.43,1.05,SI,Eslovenia
2019,-1.46,3.54,6.92,9.95,10.6,19.49,20.31,20.27,15.36,11.78,6.55,2.62,SI,Eslovenia
2020,1.05,4.79,5.24,10.78,12.57,16.64,19.05,20.04,16.02,9.91,5.64,1.89,SI,Eslovenia
2016,-14.61,-4.8,-2.48,2.65,10.86,13.42,17.03,13.93,10.0,2.79,-4.04,-5.32,FI,Finlandia
2017,-7.63,-7.77,-2.88,-0.28,5.67,11.7,14.91,13.79,8.91,2.81,-1.88,-5.45,FI,Finlandia
2018,-8.12,-11.76,-8.09,1.9,11.4,12.81,19.23,15.5,10.36,3.05,0.09,-5.5,FI,Finlandia
2019,-11.43,-6.98,-3.93,3.32,7.84,14.43,14.74,13.87,8.97,1.32,-3.5,-3.4,FI,Finlandia
2020,-4.7,-4.9,-2.38,0.92,6.79,15.94,15.55,14.28,10.25,4.92,0.8,-4.09,FI,Finlandia
2016,-0.81,6.09,7.24,12.8,15.97,20.75,22.15,20.66,18.44,10.0,5.23,-0.55,HU,Hungría
2017,-5.21,3.09,9.42,10.77,16.84,21.76,22.22,23.19,16.17,11.71,5.9,2.33,HU,Hungría
2018,2.73,0.16,3.97,15.7,19.3,20.59,22.04,23.64,18.12,13.64,7.16,1.21,HU,Hungría
2019,-0.78,4.02,8.98,12.88,14.11,22.47,21.82,23.24,17.48,13.08,9.28,3.32,HU,Hungría
2020,-0.32,5.54,7.27,12.15,14.62,19.91,21.41,22.77,18.41,12.32,5.6,3.53,HU,Hungría
2016,5.48,7.51,7.9,12.28,14.74,19.3,22.43,21.85,19.26,13.57,9.69,6.12,IT,Italia
2017,2.42,7.13,9.82,11.22,16.04,21.31,22.72,23.45,17.02,13.97,8.56,4.65,IT,Italia
2018,6.81,4.2,7.42,13.4,16.57,20.0,22.85,23.15,19.68,15.19,10.47,6.05,IT,Italia
2019,3.26,6.59,9.04,11.24,12.9,21.09,23.15,23.11,19.16,15.41,10.23,7.52,IT,Italia
2020,5.94,7.83,8.14,12.19,15.93,18.72,22.12,23.02,19.29,13.13,10.44,6.28,IT,Italia
2016,-6.36,1.03,2.08,7.64,14.69,17.41,18.44,17.43,14.11,5.73,1.24,-0.01,LT,Lituania
2017,-4.26,-2.45,3.54,5.69,12.38,15.69,16.84,17.75,13.43,7.6,3.53,0.82,LT,Lituania
2018,-2.17,-5.62,-1.76,9.87,16.68,17.29,19.92,19.47,15.03,8.61,2.71,-1.21,LT,Lituania
2019,-4.06,0.65,3.18,8.51,12.81,19.22,16.97,18.13,13.22,9.32,4.59,1.95,LT,Lituania
2020,1.58,1.74,3.38,6.86,10.36,18.5,17.41,18.61,14.79,10.37,4.89,0.2,LT,Lituania
2016,10.94,10.34,10.87,13.2,16.36,20.79,23.52,23.87,21.35,17.65,12.14,10.25,PT,Portugal
2017,8.69,11.12,12.49,15.57,18.33,21.96,23.1,23.43,20.57,18.92,12.5,9.31,PT,Portugal
2018,9.57,8.83,10.99,13.66,16.21,19.88,22.18,24.29,22.19,16.82,12.2,10.47,PT,Portugal
2019,8.97,10.78,12.75,13.44,17.67,20.07,23.04,23.17,21.05,17.3,12.27,10.62,PT,Portugal
2020,9.45,12.01,12.44,14.45,18.91,19.77,24.44,23.17,21.05,16.23,13.31,9.82,PT,Portugal
2016,-2.67,4.75,5.95,12.23,14.48,20.04,21.4,20.51,17.29,8.81,3.89,-2.13,RO,Rumania
2017,-6.22,0.52,7.53,9.28,15.25,20.23,21.09,22.17,16.52,10.48,5.39,2.06,RO,Rumania
2018,0.02,-0.55,2.66,13.94,17.92,19.69,20.78,22.56,16.85,12.47,5.1,-0.57,RO,Rumania
2019,-2.05,1.73,7.01,10.76,14.5,21.43,20.75,22.14,17.09,11.92,9.24,2.34,RO,Rumania
2020,-1.32,3.22,6.37,10.1,13.52,19.17,20.9,21.94,18.28,12.72,4.52,2.99,RO,Rumania
2016,4.54,3.67,5.28,6.5,11.23,13.96,15.33,15.56,14.3,9.73,5.06,5.75,GB,Reino Unido
2017,3.87,4.96,7.12,7.85,12.07,14.5,15.22,14.78,12.47,11.07,5.87,4.29,GB,Reino Unido
2018,4.11,2.12,3.73,8.36,11.93,14.77,16.93,15.36,12.38,9.63,7.07,5.96,GB,Reino Unido
2019,3.75,5.84,6.69,8.46,9.99,13.51,16.29,15.8,13.11,9.24,5.45,5.19,GB,Reino Unido
2020,5.45,4.97,5.58,8.9,11.29,13.98,14.45,15.89,12.96,9.43,7.69,4.42,GB,Reino Unido
2016,-2.55,-3.46,-0.39,0.67,3.9,8.67,9.56,8.98,6.34,4.93,0.43,0.69,IS,Islandia
2017,-1.05,0.68,-0.87,0.36,5.31,7.18,9.74,8.47,7.03,3.89,-2.6,-2.82,IS,Islandia
2018,-2.11,-0.1,-0.61,1.29,3.78,6.9,9.02,8.01,4.79,1.52,0.88,-0.53,IS,Islandia
2019,-1.86,-1.53,-1.83,3.57,3.74,7.35,10.34,8.2,6.2,2.29,-1.34,-1.82,IS,Islandia
2020,-0.95,-2.1,-2.06,1.49,3.87,7.59,8.56,8.65,4.45,2.66,-0.73,-1.39,IS,Islandia
2016,-9.91,-5.58,-2.38,0.67,7.14,10.34,13.01,10.92,9.51,2.46,-3.12,-2.8,NO,Noruega
2017,-5.53,-6.17,-3.17,-0.52,5.02,9.82,12.12,10.89,8.61,3.09,-2.71,-5.25,NO,Noruega
2018,-7.11,-8.86,-7.21,0.92,8.45,9.99,15.21,11.7,8.18,2.35,-0.16,-4.22,NO,Noruega
2019,-8.02,-5.43,-3.85,2.63,4.76,10.45,12.67,12.11,7.38,0.86,-4.15,-3.19,NO,Noruega
2020,-3.75,-4.64,-3.01,0.42,4.31,12.91,11.69,12.09,8.13,3.47,0.74,-2.51,NO,Noruega
